taxa	stitle	assembly_accession	domain	phylum	class	order	family	genus	species
RZV98909.1	RZV98909.1 MAG: 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Scalindua sp. SCAELEC01]	GCA_004282745.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	SCAELEC01	SCAELEC01 sp004282745
ODS31681.1	ODS31681.1 Na+-translocating NADH-quinone reductase subunit F [Candidatus Scalindua rubra]	GCA_001723765.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Scalindua	Scalindua rubra_A
MBO1223519.1	MBO1223519.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Scalindua sediminis]	GCA_017368835.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Scalindua_A	Scalindua_A sediminis
OHC01316.1	OHC01316.1 hypothetical protein A3H23_03530 [Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19]	GCA_001828595.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Scalindua	Scalindua sp001828595
MBS1257170.1	MBS1257170.1 Na(+)-translocating NADH-quinone reductase subunit F [Candidatus Scalindua arabica]	GCA_018263435.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Scalindua	Scalindua arabica
TWU31437.1	TWU31437.1 Na(+)-translocating NADH-quinone reductase subunit F [Candidatus Brocadiaceae bacterium S225]	GCA_007859995.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Scalindua	Scalindua rubra_B
MBT7212961.1	MBT7212961.1 MAG: 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Scalindua sp.]	GCA_018670825.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Scalindua	Scalindua sp018670825
WP_096893975.1	WP_096893975.1 2Fe-2S iron-sulfur cluster-binding protein [Candidatus Scalindua japonica]	GCF_002443295.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Scalindua	Scalindua japonica
WYAU01000012.1_32	WYAU01000012.1_32 # 31083 # 32744 # -1 # ID=84_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.465	GCA_011525665.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia sp011525665
WYAU01000035.1_3	WYAU01000035.1_3 # 1860 # 2978 # -1 # ID=24_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.512	GCA_011525665.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia sp011525665
WP_052563972.1	WP_052563972.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Brocadia sinica]	GCF_000949635.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia sinica
WP_200891731.1	WP_200891731.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Brocadia sinica]	GCF_000949635.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia sinica
OHB35799.1	OHB35799.1 hypothetical protein A2Y09_11425 [Planctomycetes bacterium GWA2_39_15]	GCA_001824485.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	2-12-FULL-39-13	2-12-FULL-39-13 sp001824485
MBI5796563.1	MBI5796563.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Planctomycetes bacterium]	GCA_016235875.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	XYD2-FULL-41-16	XYD2-FULL-41-16 sp016235875
MBM4066386.1	MBM4066386.1 2Fe-2S iron-sulfur cluster binding domain-containing protein, partial [Planctomycetes bacterium]	GCA_016873155.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	XYD2-FULL-41-16	XYD2-FULL-41-16 sp016873155
MBI2470308.1	MBI2470308.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Planctomycetes bacterium]	GCA_016188675.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	XYD2-FULL-41-16	XYD2-FULL-41-16 sp016188675
OHC06867.1	OHC06867.1 hypothetical protein A3J92_05395 [Planctomycetes bacterium RIFOXYC2_FULL_41_27]	GCA_001828645.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	XYD2-FULL-41-16	XYD2-FULL-41-16 sp001828645
MBE7444357.1	MBE7444357.1 MAG: 2Fe-2S iron-sulfur cluster binding domain-containing protein [Planctomycetia bacterium]	GCA_015075005.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia sp015075005
MBM4054605.1	MBM4054605.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Planctomycetes bacterium]	GCA_016873165.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Kuenenia	Kuenenia sp016873165
WP_099324168.1	WP_099324168.1 2Fe-2S iron-sulfur cluster-binding protein [Candidatus Kuenenia stuttgartiensis]	GCF_900232105.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Kuenenia	Kuenenia stuttgartiensis
